replicate ,temp,age_gp,inoc,CollD5,RhizD5,coinfectedD5,plaD5,tillersD5,CollD7,RhizD7,coinfectedD7,plaD7,tillersD7,CollD10,RhizD10,coinfectedD10,plaD10,tillersD10,CollD12,RhizD12,coinfectedD12,plaD12,tillersD12,CollD15,RhizD15,coinfectedD15,plaD15,tillersD15,CollD20,RhizD20,coinfectedD20,plaD20,tillersD20,dry.biomass,plant_ID
3,29,o,c,0,0,0,0,7,1,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,6,0,0,0,0,7,1.29,262
5,29,o,c,0,0,0,0,7,1,0,0,0,7,0,0,0,0,7,0,0,0,0,7,0,0,0,0,6,0,0,0,0,7,1.29,505
5,29,o,c,0,0,0,0,1,0,0,0,0,2,1,0,0,1,2,1,0,0,1,2,1,0,0,1,5,1,0,0,1,2,0.32,518
5,29,o,c,1,0,0,0.5,3,1,0,0,0.5,4,1,0,0,1,4,1,0,0,0.5,3,1,0,0,0.5,1,1,0,0,1,4,0.59,520
3,29,y,c,0,0,0,0,3,1,0,0,0.5,3,0,0,0,5,3,0,0,0,0.5,1,0,0,0,0,1,1,0,0,1,3,0.27,274
3,29,y,c,0,0,0,0,8,0,0,0,0,9,0,0,0,0,9,0,0,0,0,5,0,0,0,0,5,1,0,0,1,8,0.84,276
3,29,y,c,0,0,0,0,3,1,0,0,0.5,3,0,0,0,5,3,1,0,0,1,1,1,0,0,0.5,1,1,0,0,1,3,0.27,280
3,29,y,c,0,0,0,0,8,0,0,0,0,9,1,0,0,1,9,0,0,0,0,5,1,0,0,0.5,5,1,0,0,1,8,0.84,282
3,29,y,c,0,0,0,0,3,0,0,0,0,3,1,0,0,1,3,1,0,0,1,1,1,0,0,0.5,1,1,0,0,1,3,0.4,284
3,29,y,c,0,0,0,0,5,0,0,0,0,5,1,0,0,0.5,5,1,0,0,0.5,1,1,0,0,1,1,1,0,0,1,6,0.62,285
3,29,y,c,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,1,0,0,1,3,0.29,288
3,29,y,r,0,1,0,1,1,0,1,0,15,1,0,1,0,15,2,0,1,0,10,2,0,1,0,10,2,0,1,0,10,2,0.16,357
5,29,y,c,0,0,0,0,2,1,0,0,0.5,3,1,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,5,0.36,537
3,29,y,r,0,1,0,1,3,0,1,0,20,4,0,1,0,1,5,0,1,0,5,10,0,1,0,5,10,0,1,0,10,5,0.48,364
3,29,y,r,0,1,0,5,1,0,1,0,15,1,0,1,0,15,2,0,1,0,2,10,0,1,0,2,10,0,1,0,10,2,0.16,365
3,29,y,rc,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,1,0,5,2,0,1,0,10,2,0.04,397
4,21,o,r,0,1,0,20,3,0,1,0,20,2,0,1,0,25,3,0,1,0,50,3,0,1,0,25,3,0,1,0,10,3,,437
4,21,o,r,0,1,0,5,4,0,1,0,15,4,0,1,0,20,4,0,1,0,20,4,0,1,0,20,4,0,1,0,10,4,7.62,442
6,21,y,rc,0,0,0,0,1,0,1,0,2,2,0,1,0,2,2,1,1,0,0.5,2,1,1,0,10,2,0,1,0,10,2,,834
6,21,y,rc,0,1,0,25,1,0,1,0,15,1,0,1,0,15,1,0,1,0,25,1,0,1,0,10,1,0,1,0,10,1,,901
4,21,o,rc,0,0,0,0,3,0,1,0,20,3,0,1,0,25,3,0,1,0,50,3,0,1,0,50,3,0,1,0,10,4,1.94,482
